exercise_id,muscle_group_id
85,1
98,1
99,1
104,1
110,1
111,1
113,1
114,1
115,1
116,1
117,1
125,1
133,1
135,1
150,1
151,1
152,1
154,1
155,1
156,1
166,1
167,1
178,1
179,1
183,1
184,1
185,1
186,1
201,1
202,1
208,1
211,1
81,2
82,2
83,2
86,2
90,2
93,2
95,2
105,2
107,2
119,2
120,2
121,2
122,2
126,2
128,2
132,2
137,2
163,2
164,2
169,2
170,2
171,2
176,2
180,2
181,2
182,2
188,2
189,2
190,2
193,2
195,2
197,2
204,2
205,2
207,2
6,3
7,3
15,3
17,3
18,3
23,3
26,3
28,3
38,3
43,3
51,3
72,3
89,4
92,4
97,4
112,4
124,4
130,4
175,4
213,4
214,4
215,4
165,5
172,5
196,5
161,6
1,7
2,7
3,7
4,7
8,7
9,7
13,7
14,7
16,7
19,7
20,7
21,7
22,7
24,7
25,7
27,7
29,7
30,7
35,7
36,7
39,7
40,7
41,7
42,7
44,7
45,7
46,7
47,7
48,7
49,7
50,7
52,7
53,7
55,7
56,7
57,7
58,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
73,7
74,7
75,7
76,7
78,7
79,7
84,8
106,8
109,8
118,8
127,8
134,8
136,8
139,8
144,8
145,8
147,8
148,8
149,8
159,8
168,8
173,8
174,8
200,8
210,8
217,9
218,9
219,9
220,9
221,9
222,9
223,9
224,9
225,9
226,9
227,9
228,9
229,9
230,9
231,9
232,9
233,9
234,9
235,9
236,9
237,9
238,9
239,9
91,10
131,10
143,10
194,10
209,10
5,11
10,11
11,11
12,11
31,11
32,11
33,11
34,11
37,11
54,11
59,11
60,11
77,11
80,5
87,5
88,5
94,5
96,5
100,5
101,5
102,5
103,5
108,5
123,5
129,5
138,5
140,5
141,5
142,5
146,5
153,5
157,5
158,5
160,5
162,5
177,5
187,5
191,5
192,5
198,5
199,5
203,5
206,5
212,5
216,5
80,6
87,6
88,6
94,6
96,6
100,6
101,6
102,6
103,6
108,6
123,6
129,6
138,6
140,6
141,6
142,6
146,6
153,6
157,6
158,6
160,6
162,6
177,6
187,6
191,6
192,6
198,6
199,6
203,6
206,6
212,6
216,6
80,8
87,8
88,8
94,8
96,8
100,8
101,8
102,8
103,8
108,8
123,8
129,8
138,8
140,8
141,8
142,8
146,8
153,8
157,8
158,8
160,8
162,8
177,8
187,8
191,8
192,8
198,8
199,8
203,8
206,8
212,8
216,8
80,10
87,10
88,10
94,10
96,10
100,10
101,10
102,10
103,10
108,10
123,10
129,10
138,10
140,10
141,10
142,10
146,10
153,10
157,10
158,10
160,10
162,10
177,10
187,10
191,10
192,10
198,10
199,10
203,10
206,10
212,10
216,10
